epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.18177255988121033,4.23593282699585,0.1,0.3796554207801819,0.08972000330686569,6.146542072296143,0.23729999363422394
1,0.3874085247516632,2.7609360218048096,0.1,0.6515544056892395,0.3198400139808655,3.294708728790283,0.575659990310669
2,0.4741060435771942,2.2885444164276123,0.1,0.7322160005569458,0.30776000022888184,3.377042293548584,0.5606399774551392
3,0.5256426334381104,2.0208208560943604,0.1,0.7750324606895447,0.40751999616622925,2.715630531311035,0.6662200093269348
4,0.562001645565033,1.835510492324829,0.1,0.8035166263580322,0.47600001096725464,2.3475258350372314,0.7300800085067749
5,0.589218258857727,1.6983726024627686,0.1,0.8243921399116516,0.48952001333236694,2.2560477256774902,0.744700014591217
6,0.6117414832115173,1.588706374168396,0.1,0.8404564261436462,0.5178200006484985,2.134150266647339,0.7662000060081482
7,0.6301918625831604,1.4974867105484009,0.1,0.8532993793487549,0.49658000469207764,2.244349718093872,0.7491599917411804
8,0.6462771892547607,1.4208742380142212,0.1,0.8640232086181641,0.5356000065803528,2.0315165519714355,0.7825599908828735
9,0.7181421518325806,1.1159788370132446,0.01,0.9029845595359802,0.6112800240516663,1.6653717756271362,0.8354200124740601
10,0.7323229312896729,1.0533053874969482,0.01,0.9102232456207275,0.6093800067901611,1.6762807369232178,0.8341400027275085
11,0.738486111164093,1.0226798057556152,0.01,0.9140025973320007,0.6078799962997437,1.6880930662155151,0.8324999809265137
12,0.743963897228241,0.9979801774024963,0.01,0.9173917174339294,0.6118599772453308,1.6791837215423584,0.8352000117301941
13,0.7479305863380432,0.9781470894813538,0.01,0.9197247624397278,0.6086000204086304,1.6956408023834229,0.8347600102424622
14,0.7518637180328369,0.9596991539001465,0.01,0.9221802949905396,0.6088200211524963,1.7047752141952515,0.8335999846458435
15,0.7562254071235657,0.9413469433784485,0.01,0.9243798851966858,0.6093999743461609,1.6994359493255615,0.8343600034713745
16,0.7595059871673584,0.9256951808929443,0.01,0.9263070225715637,0.6079000234603882,1.712662696838379,0.8325799703598022
17,0.7626710534095764,0.9104929566383362,0.01,0.9282482266426086,0.6036800146102905,1.7278939485549927,0.8319399952888489
18,0.7658103704452515,0.8951390385627747,0.01,0.9303580522537231,0.5996599793434143,1.767307162284851,0.8266599774360657
19,0.7811261415481567,0.840071976184845,0.001,0.9367209672927856,0.6104400157928467,1.713335633277893,0.833840012550354
20,0.783015787601471,0.8329579830169678,0.001,0.937417209148407,0.6102200150489807,1.714424729347229,0.8337200284004211
21,0.7832366824150085,0.8303239345550537,0.001,0.9376521706581116,0.6104599833488464,1.715895652770996,0.8334599733352661
22,0.784094512462616,0.8273693323135376,0.001,0.9381407499313354,0.6104599833488464,1.7182201147079468,0.833840012550354
23,0.7846572399139404,0.8249601721763611,0.001,0.938321053981781,0.6097000241279602,1.7202590703964233,0.8337600231170654
24,0.7851240038871765,0.8227005004882812,0.001,0.9383788108825684,0.609499990940094,1.7213367223739624,0.8337399959564209
25,0.7853417992591858,0.8207648992538452,0.001,0.9389002323150635,0.6087200045585632,1.7251324653625488,0.8330600261688232
26,0.7859959006309509,0.8188307285308838,0.001,0.9389439225196838,0.6091200113296509,1.7256603240966797,0.832539975643158
27,0.7866507768630981,0.8164600133895874,0.001,0.9392023086547852,0.6083400249481201,1.727635145187378,0.8333600163459778
28,0.7868818044662476,0.8146376609802246,0.001,0.939517617225647,0.6091399788856506,1.72783625125885,0.8329399824142456
29,0.7887426018714905,0.8073658347129822,1e-04,0.940305233001709,0.6090599894523621,1.7283663749694824,0.8334000110626221
30,0.788815975189209,0.8073011636734009,1e-04,0.9404191374778748,0.6087200045585632,1.72866952419281,0.8333600163459778
31,0.7888378500938416,0.8076246976852417,1e-04,0.9404160380363464,0.6089800000190735,1.7284190654754639,0.8333799839019775
32,0.7892194986343384,0.8060518503189087,1e-04,0.9405058026313782,0.6090999841690063,1.7286059856414795,0.8331800103187561
33,0.7889947295188904,0.8062573075294495,1e-04,0.9406150579452515,0.6089800000190735,1.7286359071731567,0.8332200050354004
34,0.7895910739898682,0.8057482242584229,1e-04,0.9404417872428894,0.6090599894523621,1.7291131019592285,0.833079993724823
35,0.7892038822174072,0.805991530418396,1e-04,0.9404425621032715,0.6089199781417847,1.7292393445968628,0.8331199884414673
36,0.7892312407493591,0.8057648539543152,1e-04,0.9407157897949219,0.6090999841690063,1.7293097972869873,0.8331800103187561
37,0.7894419431686401,0.8053566813468933,1e-04,0.9405237436294556,0.6087999939918518,1.7296992540359497,0.8331199884414673
38,0.789495050907135,0.8050845265388489,1e-04,0.9407415390014648,0.6091399788856506,1.729739785194397,0.8331599831581116
39,0.7892920970916748,0.8051954507827759,1e-04,0.9406353831291199,0.6088399887084961,1.730075478553772,0.8331000208854675
