epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.17670920491218567,8.711122512817383,0.1,0.36964893341064453,0.11581999808549881,5.5788750648498535,0.28224000334739685
1,0.3922595679759979,5.434845924377441,0.1,0.6523762941360474,0.29203999042510986,3.5821311473846436,0.5391799807548523
2,0.4839611053466797,4.382436275482178,0.1,0.7368571162223816,0.42061999440193176,2.68275785446167,0.6833400130271912
3,0.538206160068512,3.8036322593688965,0.1,0.7807615995407104,0.4611400067806244,2.4138097763061523,0.7194799780845642
4,0.5746190547943115,3.423358201980591,0.1,0.8090818524360657,0.3520199954509735,3.250079393386841,0.6066200137138367
5,0.6025599837303162,3.1460795402526855,0.1,0.829200267791748,0.48014000058174133,2.387096643447876,0.7308400273323059
6,0.623867928981781,2.9289660453796387,0.1,0.8441522717475891,0.5481200218200684,2.016871213912964,0.7862600088119507
7,0.6425384283065796,2.7506906986236572,0.1,0.8568351864814758,0.5393999814987183,2.0663435459136963,0.779699981212616
8,0.6582435965538025,2.599717378616333,0.1,0.8673310875892639,0.5338199734687805,2.1188883781433105,0.7745000123977661
9,0.7303692698478699,1.9997457265853882,0.01,0.9036003947257996,0.6145600080490112,1.68990159034729,0.8351600170135498
10,0.7443439960479736,1.8774183988571167,0.01,0.9107727408409119,0.6147000193595886,1.68814218044281,0.8360599875450134
11,0.7516529560089111,1.817552089691162,0.01,0.9148026704788208,0.6147800087928772,1.6942390203475952,0.8378000259399414
12,0.7569310069084167,1.7715678215026855,0.01,0.9175001978874207,0.6140199899673462,1.706202507019043,0.8362399935722351
13,0.7612099051475525,1.7329448461532593,0.01,0.9198761582374573,0.6137800216674805,1.7131335735321045,0.836359977722168
14,0.7658587694168091,1.6979200839996338,0.01,0.922160804271698,0.6128399968147278,1.7188833951950073,0.8357399702072144
15,0.7693290710449219,1.6651378870010376,0.01,0.9243314862251282,0.6125400066375732,1.7319976091384888,0.8355399966239929
16,0.7728773951530457,1.6357691287994385,0.01,0.9262282252311707,0.6113399863243103,1.7397233247756958,0.8354600071907043
17,0.7762766480445862,1.6075338125228882,0.01,0.9280679225921631,0.6109600067138672,1.7415708303451538,0.8350399732589722
18,0.7796579003334045,1.5792515277862549,0.01,0.9299060702323914,0.6106799840927124,1.7515623569488525,0.8344799876213074
19,0.7943421602249146,1.479921579360962,0.001,0.9353644251823425,0.6136599779129028,1.7350784540176392,0.8371999859809875
20,0.7957245111465454,1.4655894041061401,0.001,0.9361581802368164,0.6140199899673462,1.738752841949463,0.8367800116539001
21,0.7965534329414368,1.4595969915390015,0.001,0.9365023970603943,0.6126000285148621,1.7411149740219116,0.8367199897766113
22,0.7971521019935608,1.4542466402053833,0.001,0.9367085099220276,0.612820029258728,1.7429015636444092,0.8365600109100342
23,0.7979287505149841,1.450674295425415,0.001,0.9370035529136658,0.6121399998664856,1.7444130182266235,0.8372200131416321
24,0.7982971668243408,1.4467973709106445,0.001,0.9371846318244934,0.6131399869918823,1.7475841045379639,0.8367999792098999
25,0.7986164093017578,1.4440065622329712,0.001,0.9373032450675964,0.6128799915313721,1.7482969760894775,0.8368200063705444
26,0.7992517948150635,1.4382535219192505,0.001,0.937656044960022,0.6126199960708618,1.7504034042358398,0.8365200161933899
27,0.7998824715614319,1.4348467588424683,0.001,0.9379799962043762,0.612280011177063,1.7510666847229004,0.8366000056266785
28,0.8001127243041992,1.431673288345337,0.001,0.9381353259086609,0.6128399968147278,1.7535252571105957,0.8365799784660339
29,0.8019914627075195,1.4194839000701904,1e-04,0.9388120174407959,0.6125199794769287,1.7533074617385864,0.8363800048828125
30,0.8019688129425049,1.4193439483642578,1e-04,0.9387402534484863,0.6123800277709961,1.7533981800079346,0.836080014705658
31,0.8020757436752319,1.4191604852676392,1e-04,0.9387043118476868,0.6122599840164185,1.7535332441329956,0.836139976978302
32,0.8021944165229797,1.4169970750808716,1e-04,0.9389821887016296,0.6129000186920166,1.7538483142852783,0.836359977722168
33,0.8018564581871033,1.417258858680725,1e-04,0.9389415979385376,0.6130200028419495,1.75381338596344,0.8362799882888794
34,0.8019773960113525,1.4166102409362793,1e-04,0.9390789866447449,0.6126000285148621,1.7543221712112427,0.8361799716949463
35,0.8018618822097778,1.417900800704956,1e-04,0.9389299154281616,0.6126800179481506,1.754634976387024,0.836080014705658
36,0.8027876019477844,1.4147917032241821,1e-04,0.93902587890625,0.6124600172042847,1.7547990083694458,0.8363199830055237
37,0.8021538257598877,1.4160852432250977,1e-04,0.9390906691551208,0.6129199862480164,1.7547409534454346,0.8362399935722351
38,0.8022186160087585,1.4147475957870483,1e-04,0.939120352268219,0.6126400232315063,1.755277395248413,0.8360000252723694
39,0.8027415871620178,1.4142789840698242,1e-04,0.9391718506813049,0.6123999953269958,1.7553222179412842,0.836080014705658
40,0.8028258681297302,1.4135775566101074,1e-04,0.9389743804931641,0.6125400066375732,1.7553600072860718,0.8361600041389465
41,0.8027681112289429,1.413694977760315,1e-04,0.9392647743225098,0.6125199794769287,1.755574107170105,0.8362600207328796
42,0.8022943139076233,1.4156767129898071,1e-04,0.9389705061912537,0.6128000020980835,1.755676507949829,0.8360400199890137
43,0.8025121092796326,1.4124691486358643,1e-04,0.939293622970581,0.6125199794769287,1.75583815574646,0.8362200260162354
44,0.8025175333023071,1.4137274026870728,1e-04,0.939307689666748,0.612280011177063,1.7559922933578491,0.836359977722168
45,0.8027353286743164,1.413053035736084,1e-04,0.9391437768936157,0.6125199794769287,1.7563531398773193,0.8359799981117249
46,0.8028297424316406,1.4130133390426636,1e-04,0.9392327666282654,0.612779974937439,1.7566092014312744,0.8361600041389465
47,0.8025214672088623,1.4124528169631958,1e-04,0.9394310116767883,0.6121000051498413,1.7569622993469238,0.835860013961792
48,0.8030896782875061,1.4112703800201416,1e-04,0.9392858147621155,0.6123600006103516,1.7568376064300537,0.8362200260162354
49,0.803074836730957,1.4103283882141113,1e-04,0.9392350912094116,0.6122599840164185,1.7573221921920776,0.8362799882888794
