epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.17685438692569733,4.278965950012207,0.1,0.3721942603588104,0.1305599957704544,5.233459949493408,0.30296000838279724
1,0.38039538264274597,2.805940628051758,0.1,0.643621027469635,0.3070400059223175,3.367004156112671,0.5593799948692322
2,0.4686805009841919,2.318610429763794,0.1,0.727563202381134,0.367220014333725,3.0185365676879883,0.6264200210571289
3,0.5211794972419739,2.044330596923828,0.1,0.7716277241706848,0.39215999841690063,2.8261706829071045,0.6500599980354309
4,0.5575705766677856,1.858893632888794,0.1,0.8005209565162659,0.49017998576164246,2.2429137229919434,0.7456799745559692
5,0.5858502388000488,1.718695878982544,0.1,0.8216914534568787,0.4821000099182129,2.3241705894470215,0.7401999831199646
6,0.6083024144172668,1.6077320575714111,0.1,0.8380328416824341,0.5170400142669678,2.160526752471924,0.7634000182151794
7,0.6267371773719788,1.5163565874099731,0.1,0.8509600758552551,0.49963998794555664,2.219801664352417,0.7521600127220154
8,0.6426703333854675,1.4381515979766846,0.1,0.8621304035186768,0.5119799971580505,2.1851956844329834,0.7623400092124939
9,0.7146031856536865,1.1323662996292114,0.01,0.9014952778816223,0.6078600287437439,1.6775790452957153,0.8331599831581116
10,0.7287831902503967,1.069537878036499,0.01,0.9086863994598389,0.606660008430481,1.6943665742874146,0.8324199914932251
11,0.7353202104568481,1.0381488800048828,0.01,0.9128193259239197,0.609499990940094,1.6899884939193726,0.8334000110626221
12,0.7405943274497986,1.0142658948898315,0.01,0.9157916307449341,0.6065000295639038,1.6961004734039307,0.83406001329422
13,0.7454960942268372,0.9923329949378967,0.01,0.9185430407524109,0.6048200130462646,1.7094545364379883,0.8310400247573853
14,0.7493761777877808,0.974319577217102,0.01,0.920737087726593,0.6064599752426147,1.7106891870498657,0.8321999907493591
15,0.7532967925071716,0.9563533663749695,0.01,0.9231107234954834,0.6045399904251099,1.7248289585113525,0.8321999907493591
16,0.7568295001983643,0.9400317072868347,0.01,0.9250285029411316,0.6050800085067749,1.7223806381225586,0.8320000171661377
17,0.7600367665290833,0.9246624112129211,0.01,0.9269798398017883,0.6048799753189087,1.7394431829452515,0.8304200172424316
18,0.7633079886436462,0.9093039035797119,0.01,0.9291146397590637,0.6031000018119812,1.746791124343872,0.8307399749755859
19,0.778495728969574,0.8542420864105225,0.001,0.9352285861968994,0.6080399751663208,1.7235075235366821,0.8338599801063538
20,0.780329167842865,0.8471949100494385,0.001,0.93595290184021,0.6074600219726562,1.7267355918884277,0.8331599831581116
21,0.7811682820320129,0.8429529666900635,0.001,0.9363603591918945,0.6069200038909912,1.7283090353012085,0.8335000276565552
22,0.7814422249794006,0.841533362865448,0.001,0.936752200126648,0.6064800024032593,1.7316850423812866,0.8327599763870239
23,0.7817801833152771,0.8389696478843689,0.001,0.9370745420455933,0.606719970703125,1.7320070266723633,0.8334400057792664
24,0.7823554873466492,0.8366645574569702,0.001,0.937296986579895,0.6060600280761719,1.7347080707550049,0.8326399922370911
