epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.23884370923042297,3.7248117923736572,0.1,0.4687829911708832,0.1450600028038025,5.476595401763916,0.3293200135231018
1,0.5006439685821533,2.0114874839782715,0.1,0.7797418236732483,0.3294599950313568,3.5303761959075928,0.5809800028800964
2,0.6094359755516052,1.4834227561950684,0.1,0.8633347749710083,0.423799991607666,2.9382965564727783,0.6765999794006348
3,0.6744809150695801,1.1915251016616821,0.1,0.9048276543617249,0.40709999203681946,3.1082193851470947,0.6510999798774719
4,0.7212440371513367,0.994572103023529,0.1,0.929842472076416,0.5014600157737732,2.5984647274017334,0.739300012588501
5,0.7556230425834656,0.8534408211708069,0.1,0.94627445936203,0.4912000000476837,2.663588762283325,0.7318800091743469
6,0.7838146686553955,0.7435839176177979,0.1,0.9575408101081848,0.4755200147628784,2.8745460510253906,0.7159000039100647
7,0.8061022758483887,0.6567234992980957,0.1,0.9663999676704407,0.5159800052642822,2.6415855884552,0.7463399767875671
8,0.8251818418502808,0.5846168994903564,0.1,0.9727582931518555,0.5046799778938293,2.773562431335449,0.7405999898910522
9,0.9029964804649353,0.3351205885410309,0.01,0.9896187782287598,0.5993000268936157,2.207515239715576,0.8098400235176086
10,0.9180812835693359,0.28491196036338806,0.01,0.9921540021896362,0.6016600131988525,2.244356870651245,0.8103799819946289
11,0.9253543615341187,0.26097607612609863,0.01,0.9933122992515564,0.6000800132751465,2.2797844409942627,0.8095999956130981
12,0.9300602674484253,0.24457409977912903,0.01,0.9940171241760254,0.6003199815750122,2.30540132522583,0.8103799819946289
13,0.9341034889221191,0.23073694109916687,0.01,0.9948171973228455,0.5997999906539917,2.353590726852417,0.8094199895858765
14,0.9377111196517944,0.21875803172588348,0.01,0.9952792525291443,0.5985400080680847,2.3674850463867188,0.8086400032043457
15,0.9407216906547546,0.20862708985805511,0.01,0.9957616329193115,0.6005200147628784,2.3869402408599854,0.8097400069236755
16,0.9435527324676514,0.1993788629770279,0.01,0.9962041974067688,0.6002799868583679,2.4134883880615234,0.809719979763031
17,0.9463595747947693,0.19026491045951843,0.01,0.9965453147888184,0.5999199748039246,2.4281771183013916,0.8089399933815002
18,0.9484794735908508,0.1828588992357254,0.01,0.9969199895858765,0.5986400246620178,2.4629344940185547,0.8085200190544128
19,0.9559891223907471,0.16260170936584473,0.001,0.9975771903991699,0.6011000275611877,2.447122097015381,0.8106200098991394
20,0.9571365118026733,0.15938134491443634,0.001,0.9977052211761475,0.601639986038208,2.451019763946533,0.8108599781990051
21,0.9578374028205872,0.1575048416852951,0.001,0.997776985168457,0.6020399928092957,2.453705310821533,0.8106399774551392
22,0.9578546285629272,0.15684711933135986,0.001,0.9977996349334717,0.6018000245094299,2.4579365253448486,0.8112000226974487
23,0.9582995176315308,0.15579663217067719,0.001,0.9978199601173401,0.6015599966049194,2.461583375930786,0.8107600212097168
24,0.958728015422821,0.15439686179161072,0.001,0.9979198575019836,0.6019799709320068,2.4638864994049072,0.8110600113868713
25,0.9589372277259827,0.15369831025600433,0.001,0.9978964328765869,0.6017400026321411,2.4682705402374268,0.8107200264930725
26,0.9592509865760803,0.15281610190868378,0.001,0.9979221820831299,0.6010599732398987,2.4715774059295654,0.8101000189781189
27,0.9592119455337524,0.15262125432491302,0.001,0.9978893995285034,0.6018999814987183,2.473085403442383,0.810699999332428
28,0.9599347710609436,0.1511904001235962,0.001,0.9979729056358337,0.6015400290489197,2.476125717163086,0.8107200264930725
29,0.9604475498199463,0.14925359189510345,1e-04,0.99803227186203,0.6018000245094299,2.4773690700531006,0.8102999925613403
30,0.9604460000991821,0.1491014063358307,1e-04,0.9980369210243225,0.6015400290489197,2.4772040843963623,0.8104000091552734
31,0.9606739282608032,0.1486305296421051,1e-04,0.9980868697166443,0.6015999913215637,2.477613687515259,0.8105599880218506
32,0.9608097076416016,0.14876113831996918,1e-04,0.9980946779251099,0.6016799807548523,2.477421522140503,0.8106600046157837
33,0.9606138467788696,0.14891283214092255,1e-04,0.9981126189231873,0.6016200184822083,2.4786739349365234,0.8104000091552734
34,0.9605693221092224,0.14891639351844788,1e-04,0.9980650544166565,0.6016799807548523,2.4784510135650635,0.8105800151824951
35,0.9608347415924072,0.14825566112995148,1e-04,0.9980455040931702,0.6016200184822083,2.4778406620025635,0.8105000257492065
36,0.9608011245727539,0.14854934811592102,1e-04,0.9980822205543518,0.6013399958610535,2.4789865016937256,0.8105400204658508
37,0.9605677723884583,0.14851567149162292,1e-04,0.9980767369270325,0.6017600297927856,2.4785356521606445,0.8104000091552734
38,0.9609463214874268,0.14812026917934418,1e-04,0.9980642795562744,0.6017000079154968,2.4794955253601074,0.8104000091552734
39,0.9609931707382202,0.1479686200618744,1e-04,0.9980595707893372,0.6018199920654297,2.4791133403778076,0.8104199767112732
40,0.9610478281974792,0.14792883396148682,1e-04,0.9980860948562622,0.6016600131988525,2.4795901775360107,0.8104199767112732
41,0.9610751271247864,0.1478727161884308,1e-04,0.9980408549308777,0.6014400124549866,2.4798834323883057,0.8104599714279175
42,0.9611344337463379,0.14759956300258636,1e-04,0.9981181025505066,0.6017000079154968,2.480384588241577,0.8103600144386292
43,0.9607839584350586,0.14827947318553925,1e-04,0.998084545135498,0.6014999747276306,2.4811131954193115,0.8106399774551392
44,0.9609197974205017,0.1476486325263977,1e-04,0.9980892539024353,0.6016200184822083,2.481356143951416,0.8106799721717834
45,0.9608511328697205,0.1480204164981842,1e-04,0.9981142282485962,0.6017600297927856,2.4814372062683105,0.8103600144386292
46,0.9611992239952087,0.14742018282413483,1e-04,0.9980806708335876,0.6020200252532959,2.4813923835754395,0.8103600144386292
47,0.9611164927482605,0.14750565588474274,1e-04,0.9981228113174438,0.601360023021698,2.4819653034210205,0.8104599714279175
48,0.9611164927482605,0.14723607897758484,1e-04,0.9981024861335754,0.6014400124549866,2.482272148132324,0.8103600144386292
49,0.9611422419548035,0.14727145433425903,1e-04,0.9980798363685608,0.6018199920654297,2.482114791870117,0.8105199933052063
