epoch,acc,loss,lr,val_acc,val_loss
0,0.04796838387846947,5.700048446655273,0.01,0.08023999631404877,5.070609092712402
1,0.1733303666114807,4.156134605407715,0.01,0.1838199943304062,4.100860595703125
2,0.2838631272315979,3.3413233757019043,0.01,0.2473199963569641,3.6768295764923096
3,0.36732470989227295,2.8156988620758057,0.01,0.32076001167297363,3.1988797187805176
4,0.42772039771080017,2.4661741256713867,0.01,0.3475799858570099,3.0434980392456055
5,0.4738145172595978,2.212571382522583,0.01,0.38802000880241394,2.8253774642944336
6,0.5109236240386963,2.0152587890625,0.01,0.4066399931907654,2.7197415828704834
7,0.5418516993522644,1.8579522371292114,0.01,0.4244599938392639,2.6561832427978516
8,0.5675292015075684,1.728141188621521,0.01,0.44982001185417175,2.510923385620117
9,0.6149644255638123,1.5145952701568604,0.005,0.47571998834609985,2.387505531311035
10,0.6305026412010193,1.4425715208053589,0.005,0.4789600074291229,2.37261962890625
11,0.6428176760673523,1.3852746486663818,0.005,0.4812999963760376,2.369007110595703
12,0.6539203524589539,1.3331371545791626,0.005,0.48357999324798584,2.372626304626465
13,0.6653857231140137,1.282684087753296,0.005,0.486299991607666,2.373021364212036
14,0.6754056215286255,1.2365729808807373,0.005,0.4870400130748749,2.3652875423431396
15,0.6849944591522217,1.1937971115112305,0.005,0.4892599880695343,2.3557658195495605
16,0.6947991847991943,1.1525381803512573,0.005,0.4866200089454651,2.396649122238159
17,0.7039459347724915,1.1141399145126343,0.005,0.4880000054836273,2.3887574672698975
18,0.7120844721794128,1.0774062871932983,0.005,0.4915800094604492,2.416977882385254
19,0.7463873028755188,0.9554756879806519,0.0025,0.5008400082588196,2.335644006729126
20,0.7540673017501831,0.9236652255058289,0.0025,0.5021200180053711,2.3471179008483887
21,0.7602530717849731,0.9009569883346558,0.0025,0.5008000135421753,2.357832193374634
22,0.7649053931236267,0.8808746337890625,0.0025,0.49963998794555664,2.3920633792877197
23,0.7700193524360657,0.8610126376152039,0.0025,0.500819981098175,2.3813323974609375
24,0.7750288844108582,0.8415181636810303,0.0025,0.5012800097465515,2.3934078216552734
25,0.7796112895011902,0.8232439160346985,0.0025,0.49803999066352844,2.419386625289917
26,0.7835537791252136,0.8055315613746643,0.0025,0.5012400150299072,2.405822515487671
27,0.7879649996757507,0.788440465927124,0.0025,0.49869999289512634,2.438044786453247
28,0.792456328868866,0.771659791469574,0.0025,0.49873998761177063,2.4432449340820312
29,0.8139290809631348,0.703691840171814,0.00125,0.5030400156974792,2.4170985221862793
30,0.818703830242157,0.6878562569618225,0.00125,0.5033000111579895,2.419433116912842
31,0.821338951587677,0.6780495643615723,0.00125,0.5030800104141235,2.4358301162719727
32,0.8241373896598816,0.6677665114402771,0.00125,0.5011399984359741,2.4556732177734375
33,0.8264199495315552,0.6587841510772705,0.00125,0.5015400052070618,2.451047420501709
34,0.8291178941726685,0.6493306756019592,0.00125,0.501479983329773,2.4645185470581055
35,0.8314106464385986,0.6405369639396667,0.00125,0.5015599727630615,2.4715161323547363
36,0.8338258862495422,0.6321125030517578,0.00125,0.4994199872016907,2.4801571369171143
37,0.8355321288108826,0.6242300868034363,0.00125,0.49998000264167786,2.487154006958008
38,0.838482141494751,0.6151464581489563,0.00125,0.5002400279045105,2.4992167949676514
39,0.8500260710716248,0.5809569358825684,0.000625,0.5014399886131287,2.4846177101135254
40,0.8523863554000854,0.5727452039718628,0.000625,0.5000399947166443,2.49038028717041
41,0.8539104461669922,0.5683450698852539,0.000625,0.5007200241088867,2.4932868480682373
42,0.8547419309616089,0.5640289783477783,0.000625,0.501800000667572,2.501499891281128
43,0.8562566041946411,0.5591758489608765,0.000625,0.4982199966907501,2.5090079307556152
44,0.8575192093849182,0.5551192760467529,0.000625,0.500760018825531,2.5166821479797363
45,0.8586294651031494,0.5511121153831482,0.000625,0.49827998876571655,2.5149056911468506
46,0.8594853281974792,0.5469083189964294,0.000625,0.49897998571395874,2.5267436504364014
47,0.8608798384666443,0.5431970357894897,0.000625,0.49959999322891235,2.5326642990112305
48,0.861467182636261,0.5389272570610046,0.000625,0.49724000692367554,2.536191701889038
49,0.8682810664176941,0.5211628675460815,0.0003125,0.4992600083351135,2.5264625549316406
